DSNY Storm # ,Date of Report ,Manhattan,Bronx,Brooklyn,Queens,Staten Island ,Total Tons 
Storm 3,01/09/2017 12:00:00 AM,4189,2760,3543,6336,1230,18058
Storm 3,01/10/2017 12:00:00 AM,1181,767,767,1715,270,4700
Storm 3,01/13/2017 12:00:00 AM,27,287,0,610,0,924
Storm 4,02/01/2017 12:00:00 AM,1619,3242,4207,5266,1824,16158
Storm 5,02/10/2017 12:00:00 AM,7091,6515,13013,13187,7231,47037
Storm 5,02/11/2017 12:00:00 AM,2393,2900,5818,5018,2450,18579
Storm 5,02/12/2017 12:00:00 AM,1141,2400,1912,2994,1883,10330
Storm 5,02/13/2017 12:00:00 AM,1056,2400,3075,3740,2432,12703
Storm 5,02/14/2017 12:00:00 AM,39,6,414,341,116,916
Storm 5,02/15/2017 12:00:00 AM,16,204,492,100,0,812
Storm 5,02/17/2017 12:00:00 AM,4,351,609,925,0,1889
Storm 6,03/11/2017 12:00:00 AM,1782,2560,4216,5061,2549,16168
Storm 6,03/13/2017 12:00:00 AM,0,4,2,82,0,88
Storm 7,03/15/2017 12:00:00 AM,6700,7458,14810,17736,6857,53561
Storm 7,03/16/2017 12:00:00 AM,2275,3947,7435,6566,2580,22803
Storm 7,03/17/2017 12:00:00 AM,1624,3003,2456,3406,2450,12939
Storm 7,03/18/2017 12:00:00 AM,1255,2145,888,2486,263,7037
Storm 7,03/19/2017 12:00:00 AM,1015,2642,1770,1978,277,7682
Storm 7,03/20/2017 12:00:00 AM,810,993,1149,1405,300,4657
Storm 7,03/21/2017 12:00:00 AM,326,582,903,392,0,2203
Storm 7,03/22/2017 12:00:00 AM,448,572,572,296,0,1888
Storm 7,03/23/2017 12:00:00 AM,205,278,357,404,300,1544
Storm 7,03/24/2017 12:00:00 AM,54,197,324,115,0,690
Storm 7,03/25/2017 12:00:00 AM,0,195,125,0,200,520
Storm 1,12/10/2017 12:00:00 AM,3704,6884,11569,12920,4913,39990
Storm 1,12/11/2018 12:00:00 AM,442,398,2924,650,1103,5517
Storm 2,12/15/2017 12:00:00 AM,2414,4558,4469,7946,3900,23287
Storm 2,12/16/2017 12:00:00 AM,3789,5939,4864,10954,3988,29534
Storm 2,12/18/2017 12:00:00 AM,0,168,32,0,78,278
Storm 3,01/02/2018 12:00:00 AM,1818,6518,7119,15888,5204,36547
Storm 4,01/05/2018 12:00:00 AM,6399,8310,14988,14616,4536,48849
Storm 4,01/06/2018 12:00:00 AM,3570,6094,6304,5604,1220,22792
Storm 4,01/07/2018 12:00:00 AM,2268,4071,5133,4391,1375,17238
Storm 4,01/08/2018 12:00:00 AM,1069,1317,3041,1984,478,7889
Storm 4,01/09/2018 12:00:00 AM,745,2625,3953,3098,1180,11601
Storm 4,01/10/2018 12:00:00 AM,249,485,272,325,180,1511
Storm 4,01/11/2018 12:00:00 AM,29,392,207,32,0,660
Storm 4,01/12/2018 12:00:00 AM,5,165,120,50,170,510
Storm 4,01/13/2018 12:00:00 AM,0,4,32,4,0,40
Storm 4,01/16/2018 12:00:00 AM,0,45,146,53,64,308
Storm 5,01/18/2018 12:00:00 AM,1864,3558,4251,8861,4042,22576
Storm 5,01/19/2018 12:00:00 AM,14,3,5,4,30,56
Storm 6,01/31/2018 12:00:00 AM,1357,2192,4170,6418,1538,15675
Storm 7,02/08/2018 12:00:00 AM,1575,2996,3714,3533,2212,14030
Storm 8,02/20/2018 12:00:00 AM,2311,4321,4944,6148,2382,20106
Storm 9,03/08/2018 12:00:00 AM,6148,8212,10255,12774,4700,42089
Storm 9,03/09/2018 12:00:00 AM,182,342,938,1497,602,3561
Storm 9,03/10/2018 12:00:00 AM,0,126,32,0,124,282
Storm 10,03/14/2018 12:00:00 AM,1796,3236,4707,7662,2313,19714
Storm 11,03/22/2018 12:00:00 AM,6612,9432,10831,13411,4000,44286
Storm 11,03/23/2018 12:00:00 AM,738,1297,2370,1898,3500,9803
Storm 11,03/26/2018 12:00:00 AM,44,1,0,137,0,182
Storm 12,04/04/2018 12:00:00 AM,1250,3218,3082,5133,983,13666
Storm 1,11/16/2018 12:00:00 AM,2883,4650,7728,10710,3110,29081
Storm 1,11/17/2018 12:00:00 AM,406,486,2119,1886,1000,5897
Condition 2,11/26/2018 12:00:00 AM,936,1220,1564,2461,460,6641
Condition 3,12/14/2018 12:00:00 AM,1282,2992,3345,7103,2169,16891
Condition 4,12/21/2018 12:00:00 AM,0,363,194,318,144,1019
Storm 2,01/14/2019 12:00:00 AM,1569,2117,1962,4692,2800,13140
Storm 3,01/18/2019 12:00:00 AM,2192,3449,6226,5925,4739,22531
Storm 3,01/19/2019 12:00:00 AM,111,715,1014,0,120,1960
Storm 3,01/20/2019 12:00:00 AM,2008,3885,3413,7273,2679,19258
Storm 3,01/22/2019 12:00:00 AM,134,2723,1614,7382,620,12473
Storm 4,01/30/2019 12:00:00 AM,1994,2482,2992,4268,2312,14048
Storm 4,01/31/2019 12:00:00 AM,966,2384,4266,2330,2054,12000
Storm 4,02/01/2019 12:00:00 AM,42,202,202,15,0,461
Storm 5,02/13/2019 12:00:00 AM,4350,8349,15702,15196,5648,49245
Storm 5,02/14/2019 12:00:00 AM,100,426,650,844,275,2295
Storm 6,02/18/2019 12:00:00 AM,1642,3273,2596,6061,524,14096
Storm 6,02/21/2019 12:00:00 AM,4063,6659,9996,9783,4106,34607
Storm 6,02/22/2019 12:00:00 AM,154,142,232,142,0,670
Storm 7,02/28/2019 12:00:00 AM,1613,3700,3804,4310,1778,15205
Storm 7,03/01/2019 12:00:00 AM,2266,4161,2272,4440,840,13979
Storm 7,03/03/2019 12:00:00 AM,3794,8000,8182,5968,3883,29827
Storm 8,03/04/2019 12:00:00 AM,2743,5559,5277,8223,2696,24498
Storm 8,03/05/2019 12:00:00 AM,507,2157,2015,3349,122,8150
Storm 8,03/06/2019 12:00:00 AM,46,192,0,226,226,690
Storm 8,03/08/2019 12:00:00 AM,44,8,0,69,100,221
